iter	Logloss
0	0.6580411006
1	0.6286416785
2	0.6012701153
3	0.5782581907
4	0.5578582106
5	0.5407402135
6	0.5256688948
7	0.5130397724
8	0.5015885804
9	0.4911243997
10	0.4818833053
11	0.473194104
12	0.4661570037
13	0.4596932876
14	0.454342978
15	0.4483521353
16	0.4433586595
17	0.4391693919
18	0.4356745627
19	0.4332687371
20	0.4296683816
21	0.4267823032
22	0.4237579117
23	0.4211299549
24	0.4189215092
25	0.4170093551
26	0.4151690636
27	0.4135382305
28	0.4120648809
29	0.4116407764
30	0.4101501536
31	0.408928037
32	0.4078946341
33	0.4065893788
34	0.4052325359
35	0.4041792058
36	0.402968319
37	0.4020373932
38	0.4008889225
39	0.3999845906
40	0.3991924926
41	0.3982876585
42	0.3977040238
43	0.3968719623
44	0.3959145035
45	0.3952384093
46	0.3946590807
47	0.3938547206
48	0.3932022024
49	0.3924823938
50	0.3920373902
51	0.3914891509
52	0.3908806292
53	0.3903432054
54	0.3898463818
55	0.389333814
56	0.3888173742
57	0.3880997421
58	0.3876634751
59	0.3871990208
60	0.3864776441
61	0.385973597
62	0.3855899193
63	0.3850394788
64	0.3847293496
65	0.384161733
66	0.383791717
67	0.3830625908
68	0.3825931503
69	0.3819891357
70	0.3816842757
71	0.3813451433
72	0.3810979264
73	0.3809536052
74	0.3804581381
75	0.3800024968
76	0.3795667321
77	0.3792093077
78	0.3788275557
79	0.3783295922
80	0.3779594126
81	0.3775856044
82	0.3772386679
83	0.3769609402
84	0.3764494667
85	0.3760722231
86	0.3756063226
87	0.3753522284
88	0.3750511897
89	0.3747931454
90	0.3743545756
91	0.3740025718
92	0.3736767958
93	0.3734184271
94	0.3731767708
95	0.3728221813
96	0.3725421409
97	0.37202272
98	0.3717419912
99	0.3713189683
