iter	Passed	Remaining
0	5	544
1	10	509
2	15	486
3	19	473
4	24	465
5	29	459
6	34	458
7	39	455
8	44	454
9	50	452
10	55	449
11	60	445
12	66	443
13	71	440
14	77	437
15	82	434
16	88	431
17	94	428
18	99	425
19	105	421
20	111	419
21	117	416
22	123	412
23	128	408
24	134	403
25	141	401
26	147	398
27	153	393
28	158	388
29	162	378
30	167	372
31	173	369
32	179	364
33	185	360
34	191	356
35	197	351
36	203	346
37	209	341
38	215	336
39	221	331
40	227	326
41	233	322
42	239	318
43	246	313
44	252	308
45	258	303
46	264	298
47	270	292
48	276	287
49	282	282
50	288	277
51	295	272
52	301	266
53	307	261
54	313	256
55	319	250
56	325	245
57	331	239
58	337	234
59	343	229
60	350	223
61	356	218
62	362	213
63	368	207
64	375	201
65	381	196
66	387	190
67	394	185
68	401	180
69	407	174
70	413	168
71	419	163
72	426	157
73	431	151
74	437	145
75	443	140
76	449	134
77	456	128
78	462	122
79	468	117
80	474	111
81	481	105
82	487	99
83	494	94
84	500	88
85	507	82
86	513	76
87	520	70
88	527	65
89	533	59
90	539	53
91	546	47
92	552	41
93	558	35
94	564	29
95	571	23
96	577	17
97	583	11
98	590	5
99	596	0
